struct_index,bstate_id,orig_label,basin,fold_frac,margin,rmsd_global,rmsd_stem,rmsd_loop,mindist,Q_stem_sig,Q_loop_sig,Q_stem_hard,Q_loop_hard,n_stem_bp,loop_contact_count,chi_G9,g9_syn,rog,d_e2e
0,folded_01,folded,folded_side,0.9104,0.8208,1.0504,1.0524,0.5974,1.8225,0.7588,0.7261,1.0000,1.0000,5.0000,4.0000,57.9143,1.0000,9.9871,10.0392
1,folded_02,folded,folded_side,0.9097,0.8194,1.2735,1.1648,0.3919,1.7834,0.7666,0.7922,1.0000,1.0000,5.0000,4.0000,52.9110,1.0000,9.9650,9.6078
2,folded_03,folded,folded_side,0.9132,0.8265,1.5997,1.4744,0.6310,1.8752,0.7524,0.7724,1.0000,1.0000,5.0000,4.0000,32.0825,1.0000,9.6162,9.8510
3,folded_04,folded,folded_side,0.9129,0.8257,1.9500,1.4287,0.9306,1.8219,0.7603,0.8099,1.0000,1.0000,5.0000,4.0000,58.8649,1.0000,9.6458,10.0303
4,folded_05,folded,folded_side,0.9172,0.8343,1.5650,1.1938,0.5846,1.8481,0.7431,0.7813,1.0000,1.0000,5.0000,4.0000,40.3296,1.0000,9.7923,9.7903
5,folded_06,folded,folded_side,0.9189,0.8379,1.6238,1.3599,0.3532,1.9528,0.7500,0.7396,1.0000,1.0000,5.0000,4.0000,71.2738,1.0000,9.8170,10.1231
6,folded_07,folded,folded_side,0.9100,0.8200,1.2645,0.9714,0.3944,1.9455,0.7607,0.7981,1.0000,1.0000,5.0000,4.0000,52.4569,1.0000,9.8992,9.6119
7,folded_08,folded,folded_side,0.9236,0.8472,1.8092,1.2621,0.5808,1.8614,0.7255,0.7895,1.0000,1.0000,5.0000,4.0000,74.0176,1.0000,9.9747,9.7964
8,folded_09,folded,folded_side,0.9113,0.8227,1.6739,1.6901,0.5336,1.7345,0.7698,0.7488,1.0000,1.0000,5.0000,4.0000,71.0044,1.0000,9.6576,10.1935
9,folded_10,folded,folded_side,0.9139,0.8278,1.9458,1.4500,0.6535,1.7673,0.7613,0.7854,1.0000,1.0000,5.0000,4.0000,66.7650,1.0000,9.7177,9.9408
10,intermediate_01,intermediate,folded_side,0.9112,0.8224,1.4291,1.1477,0.4254,1.7372,0.7606,0.7978,1.0000,1.0000,5.0000,4.0000,48.7595,1.0000,9.8104,9.6306
11,intermediate_02,intermediate,folded_side,0.8902,0.7804,1.6464,1.4415,0.9095,1.9046,0.5815,0.8284,0.7857,1.0000,4.0000,4.0000,63.5843,1.0000,10.0742,5.4813
12,intermediate_03,intermediate,transition,0.8905,0.7811,2.6779,2.5883,1.1112,6.5512,0.5934,0.5153,0.7857,0.5000,4.0000,2.0000,67.2339,1.0000,10.1819,18.1660
13,intermediate_04,intermediate,folded_side,0.9141,0.8282,1.1530,0.9676,0.6573,1.9356,0.7403,0.8004,1.0000,1.0000,5.0000,4.0000,96.9869,1.0000,10.0270,9.7939
14,intermediate_05,intermediate,transition,0.8297,0.6594,2.1898,2.5128,0.3985,8.2379,0.5607,0.6921,0.7143,1.0000,3.0000,4.0000,63.8598,1.0000,10.2789,17.7113
