#  idx        bstate_id    orig_label         basin  foldFr  margin  rmsdGlob  rmsdStem  rmsdLoop   mindist  Qstem_s  Qloop_s  nBP     chiG9       Rg    d_e2e
     0        folded_01        folded   folded_side   0.910   0.821    1.0504    1.0524    0.5974    1.8225   0.7588   0.7261    5    57.914   9.9871  10.0392
     1        folded_02        folded   folded_side   0.910   0.819    1.2735    1.1648    0.3919    1.7834   0.7666   0.7922    5    52.911   9.9650   9.6078
     2        folded_03        folded   folded_side   0.913   0.826    1.5997    1.4744    0.6310    1.8752   0.7524   0.7724    5    32.083   9.6162   9.8510
     3        folded_04        folded   folded_side   0.913   0.826    1.9500    1.4287    0.9306    1.8219   0.7603   0.8099    5    58.865   9.6458  10.0303
     4        folded_05        folded   folded_side   0.917   0.834    1.5650    1.1938    0.5846    1.8481   0.7431   0.7813    5    40.330   9.7923   9.7903
     5        folded_06        folded   folded_side   0.919   0.838    1.6238    1.3599    0.3532    1.9528   0.7500   0.7396    5    71.274   9.8170  10.1231
     6        folded_07        folded   folded_side   0.910   0.820    1.2645    0.9714    0.3944    1.9455   0.7607   0.7981    5    52.457   9.8992   9.6119
     7        folded_08        folded   folded_side   0.924   0.847    1.8092    1.2621    0.5808    1.8614   0.7255   0.7895    5    74.018   9.9747   9.7964
     8        folded_09        folded   folded_side   0.911   0.823    1.6739    1.6901    0.5336    1.7345   0.7698   0.7488    5    71.004   9.6576  10.1935
     9        folded_10        folded   folded_side   0.914   0.828    1.9458    1.4500    0.6535    1.7673   0.7613   0.7854    5    66.765   9.7177   9.9408
    10  intermediate_01  intermediate   folded_side   0.911   0.822    1.4291    1.1477    0.4254    1.7372   0.7606   0.7978    5    48.760   9.8104   9.6306
    11  intermediate_02  intermediate   folded_side   0.890   0.780    1.6464    1.4415    0.9095    1.9046   0.5815   0.8284    4    63.584  10.0742   5.4813
    12  intermediate_03  intermediate    transition   0.891   0.781    2.6779    2.5883    1.1112    6.5512   0.5934   0.5153    4    67.234  10.1819  18.1660
    13  intermediate_04  intermediate   folded_side   0.914   0.828    1.1530    0.9676    0.6573    1.9356   0.7403   0.8004    5    96.987  10.0270   9.7939
    14  intermediate_05  intermediate    transition   0.830   0.659    2.1898    2.5128    0.3985    8.2379   0.5607   0.6921    3    63.860  10.2789  17.7113
    15  intermediate_06  intermediate   folded_side   0.917   0.833    1.5919    1.5606    0.4443    1.8991   0.7501   0.7580    5    59.729   9.7004   9.9214
    16  intermediate_07  intermediate    transition   0.894   0.789    2.1858    2.2712    0.5450    9.5118   0.5773   0.7990    4    73.016  10.3283  13.4868
    17  intermediate_08  intermediate   folded_side   0.919   0.838    1.6095    1.5270    0.4647    1.9317   0.7389   0.7563    5    52.088   9.9173   9.1907
    18  intermediate_09  intermediate    transition   0.854   0.709    2.2771    2.4845    0.4497    6.6563   0.5944   0.7718    4    59.347  10.6452  20.5065
    19  intermediate_10  intermediate    transition   0.906   0.811    2.4975    2.6295    0.5272    8.0009   0.5875   0.8067    4    77.929  10.3315  12.0014
    20  intermediate_11  intermediate   folded_side   0.913   0.826    1.3821    1.2994    0.8641    1.8500   0.7557   0.7805    5    66.655   9.7671   9.5684
    21  intermediate_12  intermediate   folded_side   0.907   0.813    1.4843    1.2471    0.7070    1.6337   0.7458   0.7413    5    91.694  10.4190   9.7392
    22  intermediate_13  intermediate    transition   0.770   0.539    2.6421    2.8896    0.5316   11.8626   0.4410   0.7922    3    88.643  10.5996  15.9909
    23  intermediate_14  intermediate   folded_side   0.919   0.839    1.3962    1.2900    0.6804    2.0578   0.7417   0.7851    5    86.524  10.0661   9.9541
    24  intermediate_15  intermediate    transition   0.894   0.788    2.1813    2.1314    0.6548    3.5876   0.5719   0.7223    4    41.169   9.4782   6.8975
    25  intermediate_16  intermediate   folded_side   0.918   0.836    1.7631    1.3081    0.5928    1.8407   0.7471   0.7995    5    60.099   9.7793   9.9974
    26  intermediate_17  intermediate   folded_side   0.934   0.869    2.1065    2.0444    0.6198    1.8216   0.6368   0.7572    4    69.247   9.8384  10.0493
    27  intermediate_18  intermediate   folded_side   0.913   0.826    1.2373    1.1556    0.3748    1.8000   0.7526   0.7699    5    56.149   9.9027   9.6571
    28  intermediate_19  intermediate    transition   0.906   0.812    2.0621    2.2410    0.4634    7.8018   0.5942   0.7827    4    73.250  10.0287  16.7322
    29  intermediate_20  intermediate   folded_side   0.907   0.815    2.0314    1.7156    0.9047    1.9121   0.7661   0.7731    5    67.779   9.5259   9.6106
    30  intermediate_21  intermediate    transition   0.849   0.698    3.2157    3.2183    0.7824   10.4551   0.5794   0.6609    4    42.915   9.7660  18.6750
    31  intermediate_22  intermediate    transition   0.803   0.605    3.6409    3.7618    0.9849   11.2743   0.5855   0.7651    4    77.754   9.5415  22.5483
    32  intermediate_23  intermediate   folded_side   0.914   0.828    1.1321    1.0385    0.6087    1.8899   0.7319   0.7936    5    74.480  10.1420   9.6539
    33  intermediate_24  intermediate   folded_side   0.912   0.824    1.3201    1.1279    0.6634    1.7986   0.7559   0.7723    5   100.416  10.1001   9.7421
    34  intermediate_25  intermediate   folded_side   0.917   0.834    1.3563    1.0728    0.7083    1.8972   0.7424   0.7364    5    54.019   9.9508   9.8906
    35  intermediate_26  intermediate   folded_side   0.906   0.812    1.1209    0.9935    0.8264    1.8455   0.7715   0.6126    5    62.367  10.0870   9.8270
    36  intermediate_27  intermediate    transition   0.785   0.569    3.4389    3.7365    0.5047   11.6988   0.5888   0.7665    4    74.061  10.0479  24.7245
    37  intermediate_28  intermediate    transition   0.772   0.544    3.7398    4.2583    0.4664    7.4047   0.4302   0.7487    3    50.509  10.0424  16.3258
    38  intermediate_29  intermediate    transition   0.876   0.751    2.4243    2.5525    0.4337    7.1104   0.5853   0.7691    4    56.939  10.2952  19.2642
    39  intermediate_30  intermediate    transition   0.804   0.608    3.1589    3.4049    0.5141   10.9638   0.5820   0.7200    4    84.320  10.0971  23.5587
    40  intermediate_31  intermediate   folded_side   0.914   0.829    1.5624    1.4401    0.4849    1.8483   0.7603   0.7849    5    64.903   9.7691   9.8375
    41  intermediate_32  intermediate    transition   0.808   0.617    3.1712    3.4035    0.3890   10.6121   0.5613   0.7764    4    74.058   9.8815  23.1195
    42  intermediate_33  intermediate    transition   0.817   0.634    3.0065    3.2848    0.5511   10.4627   0.5866   0.7886    4    70.490  10.3592  22.2354
    43  intermediate_34  intermediate    transition   0.933   0.867    1.5194    1.4216    0.5356    5.8727   0.5937   0.8184    4    51.059  10.0558  13.0187
    44  intermediate_35  intermediate    transition   0.747   0.494    3.2482    3.6468    0.6955   14.7867   0.5820   0.7527    4    84.021  10.4846  26.0591
    45  intermediate_36  intermediate   folded_side   0.909   0.819    1.0565    1.1077    0.4082    1.7938   0.7617   0.8172    5    55.034  10.0210   9.8935
    46  intermediate_37  intermediate    transition   0.753   0.505    3.4780    3.9896    0.5775   11.4901   0.4298   0.7990    3    62.117  10.3384  17.0121
    47  intermediate_38  intermediate   folded_side   0.913   0.826    1.4723    1.1771    0.4353    1.6854   0.7537   0.8197    5    78.462   9.8038   9.6655
    48  intermediate_39  intermediate   folded_side   0.894   0.788    1.4360    1.4463    0.4062    1.9647   0.6009   0.7800    4    64.337   9.9262   5.4610
    49  intermediate_40  intermediate   folded_side   0.914   0.827    1.6747    1.4979    0.5277    1.8231   0.7462   0.7673    5    69.520   9.5689   9.9277
    50  intermediate_41  intermediate   folded_side   0.893   0.787    1.9215    1.4894    0.7610    2.2619   0.5703   0.7138    4    44.154   9.8621   5.9828
    51  intermediate_42  intermediate unfolded_side   0.242  -0.517    8.7901    9.7051    0.7365   30.7140   0.2258   0.7615    1    83.329  11.7516  38.5129
