scheme,role,struct_index,bstate_id,orig_label,basin,fold_frac
A_bidirectional,folded_seed,4,folded_05,folded,folded_side,0.917
A_bidirectional,folded_seed,11,intermediate_02,intermediate,folded_side,0.890
A_bidirectional,folded_seed,35,intermediate_26,intermediate,folded_side,0.906
A_bidirectional,folded_seed,50,intermediate_41,intermediate,folded_side,0.893
A_bidirectional,folded_seed,26,intermediate_17,intermediate,folded_side,0.934
A_bidirectional,folded_seed,21,intermediate_12,intermediate,folded_side,0.907
A_bidirectional,folded_seed,48,intermediate_39,intermediate,folded_side,0.894
A_bidirectional,folded_seed,29,intermediate_20,intermediate,folded_side,0.907
A_bidirectional,unfolded_seed,64,unfolded_05,unfolded,unfolded_side,0.127
A_bidirectional,unfolded_seed,52,intermediate_43,intermediate,unfolded_side,0.167
A_bidirectional,unfolded_seed,60,unfolded_01,unfolded,unfolded_side,0.190
A_bidirectional,unfolded_seed,65,unfolded_06,unfolded,unfolded_side,0.166
A_bidirectional,unfolded_seed,59,intermediate_50,intermediate,unfolded_side,0.122
A_bidirectional,unfolded_seed,63,unfolded_04,unfolded,unfolded_side,0.126
A_bidirectional,unfolded_seed,58,intermediate_49,intermediate,unfolded_side,0.126
A_bidirectional,unfolded_seed,62,unfolded_03,unfolded,unfolded_side,0.075
B_bidir+transition,folded_seed,4,folded_05,folded,folded_side,0.917
B_bidir+transition,folded_seed,11,intermediate_02,intermediate,folded_side,0.890
B_bidir+transition,folded_seed,35,intermediate_26,intermediate,folded_side,0.906
B_bidir+transition,folded_seed,50,intermediate_41,intermediate,folded_side,0.893
B_bidir+transition,folded_seed,26,intermediate_17,intermediate,folded_side,0.934
B_bidir+transition,folded_seed,21,intermediate_12,intermediate,folded_side,0.907
B_bidir+transition,folded_seed,48,intermediate_39,intermediate,folded_side,0.894
B_bidir+transition,folded_seed,29,intermediate_20,intermediate,folded_side,0.907
B_bidir+transition,unfolded_seed,64,unfolded_05,unfolded,unfolded_side,0.127
B_bidir+transition,unfolded_seed,52,intermediate_43,intermediate,unfolded_side,0.167
B_bidir+transition,unfolded_seed,60,unfolded_01,unfolded,unfolded_side,0.190
B_bidir+transition,unfolded_seed,65,unfolded_06,unfolded,unfolded_side,0.166
B_bidir+transition,unfolded_seed,59,intermediate_50,intermediate,unfolded_side,0.122
B_bidir+transition,unfolded_seed,63,unfolded_04,unfolded,unfolded_side,0.126
B_bidir+transition,unfolded_seed,58,intermediate_49,intermediate,unfolded_side,0.126
B_bidir+transition,unfolded_seed,62,unfolded_03,unfolded,unfolded_side,0.075
B_bidir+transition,transition_seed,38,intermediate_29,intermediate,transition,0.876
B_bidir+transition,transition_seed,53,intermediate_44,intermediate,transition,0.365
B_bidir+transition,transition_seed,54,intermediate_45,intermediate,transition,0.813
B_bidir+transition,transition_seed,12,intermediate_03,intermediate,transition,0.891
B_bidir+transition,transition_seed,44,intermediate_35,intermediate,transition,0.747
B_bidir+transition,transition_seed,24,intermediate_15,intermediate,transition,0.894
C_unidirectional_unfolded,unfolded_seed,64,unfolded_05,unfolded,unfolded_side,0.127
C_unidirectional_unfolded,unfolded_seed,53,intermediate_44,intermediate,transition,0.365
C_unidirectional_unfolded,unfolded_seed,59,intermediate_50,intermediate,unfolded_side,0.122
C_unidirectional_unfolded,unfolded_seed,60,unfolded_01,unfolded,unfolded_side,0.190
C_unidirectional_unfolded,unfolded_seed,65,unfolded_06,unfolded,unfolded_side,0.166
C_unidirectional_unfolded,unfolded_seed,51,intermediate_42,intermediate,unfolded_side,0.242
C_unidirectional_unfolded,unfolded_seed,58,intermediate_49,intermediate,unfolded_side,0.126
C_unidirectional_unfolded,unfolded_seed,63,unfolded_04,unfolded,unfolded_side,0.126
C_unidirectional_unfolded,unfolded_seed,56,intermediate_47,intermediate,unfolded_side,0.121
C_unidirectional_unfolded,unfolded_seed,62,unfolded_03,unfolded,unfolded_side,0.075
D_intermediate_only,transition_seed,38,intermediate_29,intermediate,transition,0.876
D_intermediate_only,transition_seed,53,intermediate_44,intermediate,transition,0.365
D_intermediate_only,transition_seed,54,intermediate_45,intermediate,transition,0.813
D_intermediate_only,transition_seed,12,intermediate_03,intermediate,transition,0.891
D_intermediate_only,transition_seed,44,intermediate_35,intermediate,transition,0.747
D_intermediate_only,transition_seed,24,intermediate_15,intermediate,transition,0.894
D_intermediate_only,transition_seed,46,intermediate_37,intermediate,transition,0.753
D_intermediate_only,transition_seed,31,intermediate_22,intermediate,transition,0.803
D_intermediate_only,transition_seed,43,intermediate_34,intermediate,transition,0.933
D_intermediate_only,transition_seed,30,intermediate_21,intermediate,transition,0.849
D_intermediate_only,transition_seed,41,intermediate_32,intermediate,transition,0.808
D_intermediate_only,transition_seed,37,intermediate_28,intermediate,transition,0.772
E_balanced_barrier,folded_seed,4,folded_05,folded,folded_side,0.917
E_balanced_barrier,folded_seed,11,intermediate_02,intermediate,folded_side,0.890
E_balanced_barrier,folded_seed,35,intermediate_26,intermediate,folded_side,0.906
E_balanced_barrier,folded_seed,50,intermediate_41,intermediate,folded_side,0.893
E_balanced_barrier,unfolded_seed,64,unfolded_05,unfolded,unfolded_side,0.127
E_balanced_barrier,unfolded_seed,52,intermediate_43,intermediate,unfolded_side,0.167
E_balanced_barrier,unfolded_seed,60,unfolded_01,unfolded,unfolded_side,0.190
E_balanced_barrier,unfolded_seed,65,unfolded_06,unfolded,unfolded_side,0.166
E_balanced_barrier,transition_seed,42,intermediate_33,intermediate,transition,0.817
E_balanced_barrier,transition_seed,53,intermediate_44,intermediate,transition,0.365
E_balanced_barrier,transition_seed,37,intermediate_28,intermediate,transition,0.772
E_balanced_barrier,transition_seed,22,intermediate_13,intermediate,transition,0.770
E_balanced_barrier,transition_seed,31,intermediate_22,intermediate,transition,0.803
