idx	iter	seg	rmsd	mindist
0	21	212	1.7142	5.9859
1	24	204	1.9316	6.1044
2	25	186	1.4340	5.0279
3	32	309	2.5018	9.0014
4	32	319	2.2872	9.9108
5	34	360	2.6102	10.7562
6	36	277	2.1024	8.6174
7	40	238	1.7541	7.0779
8	42	355	2.2001	10.7167
9	46	465	3.6188	16.3465
10	49	409	3.7148	16.6997
11	49	449	3.2990	16.9642
12	52	439	3.7750	17.7771
13	53	232	1.6977	7.1034
14	53	417	3.4029	15.3158
15	55	461	4.1122	17.9345
16	59	494	3.9213	18.5104
17	62	309	1.9412	7.2393
18	62	466	3.2698	17.2288
19	64	101	1.5838	5.1032
20	64	446	3.1093	17.8351
21	65	463	3.0189	16.7533
22	66	396	3.4391	14.0800
23	72	149	2.9421	14.0471
24	74	109	2.2729	11.5034
25	78	36	2.7662	5.9946
26	78	130	3.3034	12.1734
27	83	298	5.2560	14.7458
28	89	122	2.5204	13.4369
29	91	236	4.1950	18.9342
30	92	212	4.1721	19.0855
31	93	195	3.8987	17.4240
32	98	102	3.7404	18.0084
33	101	78	3.4116	13.7099
34	106	101	2.8788	15.9574
35	107	29	2.0335	9.7484
36	156	21	3.7994	15.9018
37	168	12	2.3608	12.0622
38	175	10	2.6555	9.1440
39	175	14	3.6557	16.1479
40	177	15	2.9790	12.3444
41	183	916	10.7601	19.4246
42	195	835	10.2244	18.8175
43	197	1686	12.3473	19.9828
44	198	15	2.7552	13.5457
45	201	1819	12.8937	16.9487
46	202	336	10.5163	19.5429
47	209	1689	15.0510	18.0514
48	215	1576	14.2391	18.5090
49	219	1723	14.8938	19.6166
